date,ticker,label,close,source,currency,ingested_at
2021-05-27,000660.KS,SK Hynix,118997.796875,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-05-28,000660.KS,SK Hynix,118523.71875,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-05-31,000660.KS,SK Hynix,120420.078125,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-01,000660.KS,SK Hynix,121842.382812,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-02,000660.KS,SK Hynix,119471.898438,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-03,000660.KS,SK Hynix,122316.476562,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-04,000660.KS,SK Hynix,121842.382812,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-07,000660.KS,SK Hynix,121842.382812,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-08,000660.KS,SK Hynix,120894.1875,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-09,000660.KS,SK Hynix,116153.242188,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-10,000660.KS,SK Hynix,116627.335938,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-11,000660.KS,SK Hynix,121368.265625,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-14,000660.KS,SK Hynix,120420.078125,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-15,000660.KS,SK Hynix,121842.382812,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-16,000660.KS,SK Hynix,122790.546875,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-17,000660.KS,SK Hynix,119945.992188,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-18,000660.KS,SK Hynix,118049.617188,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-21,000660.KS,SK Hynix,115679.148438,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-22,000660.KS,SK Hynix,115679.148438,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
2021-06-23,000660.KS,SK Hynix,117575.53125,yahoo,KRW,2026-06-05T09:02:28.580725+00:00
