date,scenario_code,event_overlay_score,event_count,needs_review_count,avg_severity,avg_novelty,overlay_confidence,event_types,regions,direction_summary,top_event_titles,evidence_summary,source_count,engine_version
2026-06-10,higher_for_longer_long_rate_shock,56.856547,1,0,54.083958,50.0,65.0,rate,us,rate_up:1,"Federal Reserve Board announces that results from its annual bank stress test will be released on Wednesday, June 24, at 4 p.m. EDT.","Federal Reserve Board announces that results from its annual bank stress test will be released on Wednesday, June 24, at 4 p.m. EDT.",1,phase5_event_overlay_v1
2026-06-10,semiconductor_ai_cycle_shock,67.84973,7,0,59.531964,50.0,65.0,semiconductor,korea,semiconductor_down:7,"美물가 다시 고개 드나…5월 CPI, 4%대 전망 - 연합인포맥스 | 최태원 “차기 반도체 공장 입지, 지역·해외 등 다각도 검토” - 서울경제 | [속보] 코스피 급락에 매도 사이드카 발동 - 연합뉴스","美물가 다시 고개 드나…5월 CPI, 4%대 전망 연합인포맥스 | 최태원 “차기 반도체 공장 입지, 지역·해외 등 다각도 검토” 서울경제 | [속보] 코스피 급락에 매도 사이드카 발동 연합뉴스",5,phase5_event_overlay_v1
