date,ticker,close,source,currency,ingested_at
2021-05-31,KRW=X,1106.97998,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-01,KRW=X,1107.209961,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-02,KRW=X,1109.880005,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-03,KRW=X,1115.439941,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-06,KRW=X,1109.680054,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-07,KRW=X,1109.319946,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-08,KRW=X,1116.890015,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-09,KRW=X,1116.410034,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-10,KRW=X,1111.26001,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-13,KRW=X,1115.550049,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-14,KRW=X,1116.319946,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-15,KRW=X,1116.030029,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-16,KRW=X,1131.949951,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-17,KRW=X,1133.540039,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-20,KRW=X,1134.25,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-21,KRW=X,1130.339966,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-22,KRW=X,1132.51001,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-23,KRW=X,1132.609985,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-24,KRW=X,1130.800049,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-27,KRW=X,1125.339966,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-28,KRW=X,1129.040039,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-29,KRW=X,1130.51001,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-06-30,KRW=X,1129.599976,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-01,KRW=X,1132.410034,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-04,KRW=X,1129.77002,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-05,KRW=X,1129.439941,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-06,KRW=X,1135.47998,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-07,KRW=X,1140.52002,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-08,KRW=X,1146.280029,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-11,KRW=X,1144.310059,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-12,KRW=X,1141.099976,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-13,KRW=X,1148.699951,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-14,KRW=X,1143.410034,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
2021-07-15,KRW=X,1140.119995,yahoo,KRW,2026-06-10T03:14:15.221337+00:00
