date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2022-05-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.126195,29.25,1.682595,1.682595,0.920649
2022-05-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.1,0.034716,2.097462,2.097462,1.0
2022-05-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.069273,-0.018216,-0.923646,-0.923646,0.269088
2022-05-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.075389,0.027842,1.507787,1.507787,0.876947
2022-05-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,uso_ret_5d,USO 5d return,ret_z,supporting,0.070619,0.050412,0.706194,0.706194,0.676548
2022-05-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,vix_level_z,VIX level,level_z,supporting,0.067749,25.42,0.903317,0.903317,0.725829
2022-05-05,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,31.200001,2.055871,2.055871,1.0
2022-05-05,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.1,0.037656,2.300951,2.300951,1.0
2022-05-05,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.075118,-0.032725,-1.502368,1.502368,0.875592
2022-05-06,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.137465,30.190001,1.832865,1.832865,0.958216
