ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
003670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.57955,medium,0.57955,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.57955
003670.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.009102,high,-0.009102,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.009102
005380.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.031956,low,-0.031956,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.031956
005380.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.015521,low,0.015521,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.015521
005380.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.036563,low,0.036563,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=0.036563
005380.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.761066,high,0.761066,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.761066
005380.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004158,high,-0.004158,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.004158
005490.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.099984,low,-0.099984,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.099984
005490.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.110214,low,-0.110214,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=-0.110214
005490.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.126884,low,-0.126884,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.126884
005490.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.565331,medium,0.565331,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.565331
005490.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006645,high,-0.006645,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.006645
005930.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.042724,low,-0.042724,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,beta_sp500_1y_krw=-0.042724
005930.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.025664,low,0.025664,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,downside_beta_sp500_1y_krw=0.025664
005930.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,positive,0.122989,low,0.122989,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_sp500_60d_krw=0.122989
005930.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.942671,high,0.942671,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_kospi200_60d_krw=0.942671
005930.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007075,high,-0.007075,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,avg_stress_ret_krw=-0.007075
006400.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.129588,low,-0.129588,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.129588
006400.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.124996,low,-0.124996,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.124996
006400.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.007901,low,0.007901,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=0.007901
006400.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.426293,medium,0.426293,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.426293
006400.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007502,high,-0.007502,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.007502
011200.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.176856,low,-0.176856,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.176856
011200.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.168001,low,-0.168001,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=-0.168001
011200.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.118269,low,-0.118269,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.118269
011200.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.479321,medium,0.479321,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.479321
011200.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004039,high,-0.004039,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.004039
017670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.094306,low,-0.094306,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.094306
017670.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.016271,low,0.016271,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.016271
017670.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,positive,0.141237,low,0.141237,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=0.141237
017670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.439495,medium,0.439495,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.439495
017670.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.001129,low,-0.001129,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.001129
032830.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.092268,low,-0.092268,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.092268
032830.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.044581,low,-0.044581,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.044581
032830.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.035324,low,0.035324,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=0.035324
032830.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.747282,high,0.747282,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.747282
032830.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004532,high,-0.004532,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.004532
034020.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.036134,low,-0.036134,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.036134
034020.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.10296,low,0.10296,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.10296
034020.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.017995,low,-0.017995,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.017995
034020.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.647532,high,0.647532,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.647532
