ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,beta_ks200_1y,downside_beta_ks200_1y,corr_sp500_60d,corr_kospi200_60d,beta_soxx_1y,downside_beta_soxx_1y,corr_soxx_60d,beta_uso_1y,beta_gld_1y,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,beta_ks200_1y_krw,downside_beta_ks200_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,beta_soxx_1y_krw,downside_beta_soxx_1y_krw,corr_soxx_60d_krw,beta_usdkrw_1y,beta_uso_1y_krw,beta_gld_1y_krw,beta_kr_financial_basket_1y_krw,avg_stress_ret_krw,return_observation_count,stress_observation_count,sp500_overlap_count,ks200_overlap_count,soxx_overlap_count,usdkrw_overlap_count,uso_overlap_count,gld_overlap_count,kr_financial_overlap_count,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
132030.KS,kr_etf,KRW,0.173047,-0.246693,-0.025659,-0.047374,-0.105359,-0.160272,0.237267,0.318844,0.001448,0.618062,-0.02609,-0.031414,0.089821,0.014754,0.201339,-0.000256,5701084328.5,0.173047,-0.246693,-0.025659,-0.047374,-0.105359,-0.160272,0.237267,0.318844,0.001448,0.618062,-0.02609,-0.031414,0.089821,-0.307152,0.014754,0.201339,0.079364,-0.000256,3825,64,1166,1204,1166,1057,1166,1166,3824,0.241023,0.706988,20260610
153130.KS,kr_etf,KRW,0.003275,-0.000398,-8.8e-05,-0.000159,-0.000698,-0.00225,0.000427,0.001178,0.29326,0.14908,-2.3e-05,0.000288,0.138999,-0.000193,6e-05,0.000108,3888598162.863109,0.003275,-0.000398,-8.8e-05,-0.000159,-0.000698,-0.00225,0.000427,0.001178,0.29326,0.14908,-2.3e-05,0.000288,0.138999,-0.000888,-0.000193,6e-05,1.2e-05,0.000108,3476,64,1166,1204,1166,1057,1166,1166,3475,0.02141,-4.68352,20260610
207940.KS,kr_stock,KRW,0.38179,-0.36743,-0.028812,-0.051726,-0.08252,-0.243881,0.431717,0.588438,-0.062353,0.565771,-0.03458,-0.036974,-0.011782,-0.040831,0.000353,-0.002234,81490753216.66667,0.38179,-0.36743,-0.028812,-0.051726,-0.08252,-0.243881,0.431717,0.588438,-0.062353,0.565771,-0.03458,-0.036974,-0.011782,-0.372286,-0.040831,0.000353,0.266295,-0.002234,2340,65,1185,1224,1185,1078,1185,1185,2340,-0.170367,-0.590036,20260610
261240.KS,kr_etf,KRW,0.127915,-0.048882,-0.01057,-0.015794,0.108856,0.08677,-0.183113,-0.147418,0.101199,-0.704334,0.015563,-0.004417,-0.096564,0.027501,0.051093,0.001181,1950302285.583333,0.127915,-0.048882,-0.01057,-0.015794,0.108856,0.08677,-0.183113,-0.147418,0.101199,-0.704334,0.015563,-0.004417,-0.096564,0.413772,0.027501,0.051093,-0.106363,0.001181,2281,64,1166,1204,1166,1057,1166,1166,2280,0.149722,1.190758,20260610
AAPL,us_stock,USD,0.281395,-0.137377,-0.022297,-0.030996,1.182308,1.211431,-0.037691,-0.032515,0.565194,-0.042763,0.455496,0.482099,0.330078,0.088724,0.16642,0.000339,19497270388246.83,0.281395,-0.137377,-0.022297,-0.030996,1.182308,1.211431,-0.037691,-0.032515,0.565194,-0.042763,0.455496,0.482099,0.330078,0.679543,0.088724,0.16642,-0.058523,0.000339,1261,63,1261,1185,1261,1110,1261,1261,1185,0.614578,2.43788,20260610
ABBV,us_stock,USD,0.247965,-0.163105,-0.028253,-0.035579,0.490332,0.548527,-0.141782,-0.155665,0.370131,-0.131755,0.089224,0.036954,-0.053599,0.088051,0.211923,0.001496,2022385708191.753,0.247965,-0.163105,-0.028253,-0.035579,0.490332,0.548527,-0.141782,-0.155665,0.370131,-0.131755,0.089224,0.036954,-0.053599,0.961573,0.088051,0.211923,-0.039957,0.001496,1261,63,1261,1185,1261,1110,1261,1261,1185,0.383977,1.328261,20260610
AGG,bond_etf,USD,0.106758,-0.040106,-0.008073,-0.013625,0.240532,0.196882,-0.08785,-0.10958,0.685404,-0.136752,0.051487,0.022664,0.213053,0.046801,0.247582,9.5e-05,1446368201531.156,0.106758,-0.040106,-0.008073,-0.013625,0.240532,0.196882,-0.08785,-0.10958,0.685404,-0.136752,0.051487,0.022664,0.213053,0.885564,0.046801,0.247582,-0.053118,9.5e-05,1261,63,1261,1185,1261,1110,1261,1261,1185,0.183246,1.60035,20260610
AMAT,us_stock,USD,0.438257,-0.211916,-0.046995,-0.066928,1.632645,1.41924,0.089137,-0.041466,0.517877,0.169572,1.06592,1.049717,0.888005,0.093839,0.377163,-0.000353,4323310865107.817,0.438257,-0.211916,-0.046995,-0.066928,1.632645,1.41924,0.089137,-0.041466,0.517877,0.169572,1.06592,1.049717,0.888005,0.351489,0.093839,0.377163,-0.015327,-0.000353,1261,63,1261,1185,1261,1110,1261,1261,1185,2.404051,4.95502,20260610
AMD,us_stock,USD,0.551337,-0.270195,-0.048365,-0.075617,1.860257,1.646519,0.139863,0.049138,0.435139,0.214915,1.201572,1.161006,0.773491,0.076469,0.408507,-0.005355,19417129176407.207,0.551337,-0.270195,-0.048365,-0.075617,1.860257,1.646519,0.139863,0.049138,0.435139,0.214915,1.201572,1.161006,0.773491,0.304354,0.076469,0.408507,-0.010652,-0.005355,1261,63,1261,1185,1261,1110,1261,1261,1185,3.619178,5.393703,20260610
AMZN,us_stock,USD,0.357553,-0.210292,-0.028042,-0.038629,1.398608,1.552849,0.030851,0.034069,0.640215,0.034881,0.573931,0.691908,0.412346,0.084552,0.174412,0.001152,16337472355779.564,0.357553,-0.210292,-0.028042,-0.038629,1.398608,1.552849,0.030851,0.034069,0.640215,0.034881,0.573931,0.691908,0.412346,0.555095,0.084552,0.174412,-0.018614,0.001152,1261,63,1261,1185,1261,1110,1261,1261,1185,0.290524,0.846789,20260610
ASML,us_stock,USD,0.417607,-0.15987,-0.037275,-0.050869,1.549045,1.365657,0.094754,-0.02614,0.572343,0.150375,0.957294,0.976969,0.78783,0.036897,0.344742,-0.000728,3917517114357.3975,0.417607,-0.15987,-0.037275,-0.050869,1.549045,1.365657,0.094754,-0.02614,0.572343,0.150375,0.957294,0.976969,0.78783,0.24231,0.036897,0.344742,-0.00299,-0.000728,1261,63,1261,1185,1261,1110,1261,1261,1185,1.685576,4.021007,20260610
AVGO,us_stock,USD,0.434903,-0.263454,-0.039116,-0.059761,1.530526,1.558283,0.046686,0.02456,0.578216,0.112112,0.913168,0.952438,0.667138,0.132906,0.300416,0.001246,14549645325587.838,0.434903,-0.263454,-0.039116,-0.059761,1.530526,1.558283,0.046686,0.02456,0.578216,0.112112,0.913168,0.952438,0.667138,0.54789,0.132906,0.300416,-0.023533,0.001246,1261,63,1261,1185,1261,1110,1261,1261,1185,0.80706,1.715065,20260610
BAC,us_stock,USD,0.277082,-0.169297,-0.023814,-0.032967,0.995922,1.026278,-0.002346,-0.017042,0.528663,-0.066194,0.325826,0.378235,0.171861,0.14452,0.136634,0.001604,2771435002519.896,0.277082,-0.169297,-0.023814,-0.032967,0.995922,1.026278,-0.002346,-0.017042,0.528663,-0.066194,0.325826,0.378235,0.171861,0.709059,0.14452,0.136634,0.037201,0.001604,1261,63,1261,1185,1261,1110,1261,1261,1185,0.388424,1.578431,20260610
BIL,bond_etf,USD,0.099531,-0.044003,-0.008757,-0.013266,0.208613,0.19943,-0.082955,-0.106157,0.485592,-0.156761,0.036253,0.018167,0.027211,0.076141,0.186091,0.000439,1611285323922.8682,0.099531,-0.044003,-0.008757,-0.013266,0.208613,0.19943,-0.082955,-0.106157,0.485592,-0.156761,0.036253,0.018167,0.027211,0.999771,0.076141,0.186091,-0.046253,0.000439,1261,63,1261,1185,1261,1110,1261,1261,1185,0.16908,1.487545,20260610
BNB-USD,crypto,USD,0.511787,-0.547629,-0.045914,-0.071356,0.979509,1.048879,0.001563,-0.04402,0.421849,0.125099,0.444042,0.510941,0.221649,0.108597,0.289834,0.008047,1560414369793315.8,0.511787,-0.547629,-0.045914,-0.071356,0.979509,1.048879,0.001563,-0.04402,0.421849,0.125099,0.444042,0.510941,0.221649,0.682457,0.108597,0.289834,-0.001418,0.008047,1834,66,1260,1224,1260,1304,1260,1260,1225,-0.371582,-0.815967,20260610
BND,bond_etf,USD,0.106542,-0.040146,-0.008133,-0.013596,0.237996,0.197519,-0.087127,-0.109565,0.676546,-0.141607,0.050153,0.023472,0.205701,0.046131,0.246427,5.9e-05,920411268171.0913,0.106542,-0.040146,-0.008133,-0.013596,0.237996,0.197519,-0.087127,-0.109565,0.676546,-0.141607,0.050153,0.023472,0.205701,0.888545,0.046131,0.246427,-0.052191,5.9e-05,1261,63,1261,1185,1261,1110,1261,1261,1185,0.182212,1.591328,20260610
BRK-B,us_stock,USD,0.191096,-0.099537,-0.016516,-0.0236,0.705478,0.739377,-0.073565,-0.091835,0.348648,-0.229403,0.175405,0.146483,-0.144706,0.114391,0.167135,0.001811,3445685070133.1123,0.191096,-0.099537,-0.016516,-0.0236,0.705478,0.739377,-0.073565,-0.091835,0.348648,-0.229403,0.175405,0.146483,-0.144706,0.833155,0.114391,0.167135,-0.021365,0.001811,1261,63,1261,1185,1261,1110,1261,1261,1185,0.115526,0.502855,20260610
BTAL,equity_etf,USD,0.226493,-0.314238,-0.025582,-0.032564,-0.328971,-0.285085,-0.19492,-0.145964,-0.156802,-0.27487,-0.305959,-0.376744,-0.609537,0.082484,0.146953,-0.000739,17124324593.070684,0.226493,-0.314238,-0.025582,-0.032564,-0.328971,-0.285085,-0.19492,-0.145964,-0.156802,-0.27487,-0.305959,-0.376744,-0.609537,1.352455,0.082484,0.146953,-0.075389,-0.000739,1261,63,1261,1185,1261,1110,1261,1261,1185,-0.27221,-1.205798,20260610
BTC-USD,crypto,USD,0.451219,-0.479496,-0.039523,-0.057701,1.093768,0.970522,-0.081003,-0.054775,0.486049,-0.017444,0.476186,0.517805,0.197319,0.083228,0.298562,0.00667,3.8896067667360174e+18,0.451219,-0.479496,-0.039523,-0.057701,1.093768,0.970522,-0.081003,-0.054775,0.486049,-0.017444,0.476186,0.517805,0.197319,0.653723,0.083228,0.298562,-0.042377,0.00667,1834,66,1260,1224,1260,1304,1260,1260,1225,-0.411271,-1.069035,20260610
COST,us_stock,USD,0.243771,-0.133475,-0.023633,-0.030528,0.812805,0.879121,-0.120925,-0.095215,0.227635,-0.326172,0.267451,0.254331,-0.133236,0.092583,0.219313,3e-05,2967702337596.738,0.243771,-0.133475,-0.023633,-0.030528,0.812805,0.879121,-0.120925,-0.095215,0.227635,-0.326172,0.267451,0.254331,-0.133236,0.897817,0.092583,0.219313,-0.081246,3e-05,1261,63,1261,1185,1261,1110,1261,1261,1185,0.083218,0.241207,20260610
CRM,us_stock,USD,0.375205,-0.378837,-0.039994,-0.055724,1.228647,1.254479,-0.00028,0.017499,0.300932,-0.093404,0.460299,0.473264,-0.137032,0.104791,0.120802,0.001906,3809419897942.729,0.375205,-0.378837,-0.039994,-0.055724,1.228647,1.254479,-0.00028,0.017499,0.300932,-0.093404,0.460299,0.473264,-0.137032,0.663881,0.104791,0.120802,-0.037601,0.001906,1261,63,1261,1185,1261,1110,1261,1261,1185,-0.273635,-0.773397,20260610
CVX,us_stock,USD,0.266954,-0.17293,-0.026545,-0.036317,0.648924,0.871106,-0.078107,0.007987,0.051333,-0.35352,0.173165,0.211286,-0.204788,0.433955,0.273239,-0.001591,3225470140240.8423,0.266954,-0.17293,-0.026545,-0.036317,0.648924,0.871106,-0.078107,0.007987,0.051333,-0.35352,0.173165,0.211286,-0.204788,0.908209,0.433955,0.273239,-0.038789,-0.001591,1261,63,1261,1185,1261,1110,1261,1261,1185,0.566398,2.127368,20260610
DBA,commodity_etf,USD,0.165601,-0.063326,-0.013113,-0.017417,0.293311,0.370172,-0.031232,-0.024552,0.325302,-0.107766,0.070907,0.078677,0.023346,0.170499,0.25387,-0.000478,71462486110.42616,0.165601,-0.063326,-0.013113,-0.017417,0.293311,0.370172,-0.031232,-0.024552,0.325302,-0.107766,0.070907,0.078677,0.023346,0.878831,0.170499,0.25387,-0.028357,-0.000478,1261,63,1261,1185,1261,1110,1261,1261,1185,0.11834,0.638785,20260610
DBC,commodity_etf,USD,0.211965,-0.080337,-0.019197,-0.031391,0.376419,0.566805,-0.011706,0.012133,0.013232,-0.040155,0.111582,0.145473,-0.096764,0.51006,0.48114,-0.001836,69891253543.07063,0.211965,-0.080337,-0.019197,-0.031391,0.376419,0.566805,-0.011706,0.012133,0.013232,-0.040155,0.111582,0.145473,-0.096764,0.897989,0.51006,0.48114,-0.012438,-0.001836,1261,63,1261,1185,1261,1110,1261,1261,1185,0.56654,2.420664,20260610
DIA,equity_etf,USD,0.164616,-0.075102,-0.013628,-0.019476,0.842068,0.823151,-0.042752,-0.041814,0.890635,-0.018444,0.28503,0.277729,0.423438,0.093499,0.214085,6e-06,3881651410217.0083,0.164616,-0.075102,-0.013628,-0.019476,0.842068,0.823151,-0.042752,-0.041814,0.890635,-0.018444,0.28503,0.277729,0.423438,0.741472,0.093499,0.214085,-0.024416,6e-06,1261,63,1261,1185,1261,1110,1261,1261,1185,0.362754,2.270219,20260610
DIS,us_stock,USD,0.295256,-0.176488,-0.01988,-0.033642,0.994674,1.049994,-4.9e-05,0.002062,0.357575,0.097329,0.358695,0.429087,0.085002,0.117702,0.169866,0.001696,1394001126233.9194,0.295256,-0.176488,-0.01988,-0.033642,0.994674,1.049994,-4.9e-05,0.002062,0.357575,0.097329,0.358695,0.429087,0.085002,0.549221,0.117702,0.169866,-0.004515,0.001696,1261,63,1261,1185,1261,1110,1261,1261,1185,-0.004797,-0.143831,20260610
EDV,bond_etf,USD,0.226257,-0.080681,-0.01432,-0.021,0.206456,0.10368,-0.101101,-0.132915,0.65495,-0.067431,0.03398,-0.006121,0.259552,-0.039535,0.317713,-0.001076,120600791487.8121,0.226257,-0.080681,-0.01432,-0.021,0.206456,0.10368,-0.101101,-0.132915,0.65495,-0.067431,0.03398,-0.006121,0.259552,0.723514,-0.039535,0.317713,-0.070306,-0.001076,1261,63,1261,1185,1261,1110,1261,1261,1185,0.170534,0.866062,20260610
EEM,equity_etf,USD,0.193077,-0.090726,-0.018676,-0.033812,0.738423,0.762746,0.110689,0.066302,0.829558,0.237355,0.362438,0.371722,0.801666,0.069927,0.378842,-0.000696,3010779840662.49,0.193077,-0.090726,-0.018676,-0.033812,0.738423,0.762746,0.110689,0.066302,0.829558,0.237355,0.362438,0.371722,0.801666,0.461684,0.069927,0.378842,0.016568,-0.000696,1261,63,1261,1185,1261,1110,1261,1261,1185,0.621572,2.690827,20260610
EFA,equity_etf,USD,0.171355,-0.087009,-0.015907,-0.02316,0.776752,0.755618,-0.00346,0.00199,0.859665,0.069832,0.314675,0.31099,0.622951,0.07487,0.330833,0.000963,2528492736416.2896,0.171355,-0.087009,-0.015907,-0.02316,0.776752,0.755618,-0.00346,0.00199,0.859665,0.069832,0.314675,0.31099,0.622951,0.566723,0.07487,0.330833,-0.016778,0.000963,1261,63,1261,1185,1261,1110,1261,1261,1185,0.34049,1.883879,20260610
ETH-USD,crypto,USD,0.594701,-0.636119,-0.055994,-0.08367,1.455454,1.405439,0.028478,0.110414,0.566142,0.067187,0.697516,0.789789,0.329406,0.106311,0.312357,0.005965,5.407681542308022e+16,0.594701,-0.636119,-0.055994,-0.08367,1.455454,1.405439,0.028478,0.110414,0.566142,0.067187,0.697516,0.789789,0.329406,0.47018,0.106311,0.312357,-0.016334,0.005965,1834,66,1260,1224,1260,1304,1260,1260,1225,-0.575722,-1.048384,20260610
