scenario,vol_annual,mdd,cvar_95,annual_return_krw,sharpe_krw_proxy,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,sharpe_improve_pct,stress_improve,no_recommendation_reason
기존 포트폴리오,0.263436,-0.469198,-0.034772,0.319396,1.098543,0.0,0.0,0.0,0.0,0.0,Gate 통과 후보가 없어 참고안을 표시합니다. 리스크 관리가 어렵습니다.
참고안(1:1) - 114800.KS,0.223358,-0.41752,-0.02938,0.248485,0.978181,15.213504,11.014182,15.507151,-10.956532,0.001197,Gate 통과 후보가 없어 참고안을 표시합니다. 리스크 관리가 어렵습니다.
