ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
RSP,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
SCHD,equity_etf,US,US_MARKET_TRADING_DAYS,3676,3679,0.0,0.752354,0.999185,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
SGOV,bond_etf,US,US_MARKET_TRADING_DAYS,1510,1510,0.0,0.314452,1.0,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
SH,inverse_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
SHV,bond_etf,US,US_MARKET_TRADING_DAYS,4880,4882,0.0,1.016243,0.99959,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
SHY,bond_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.017493,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
SLV,commodity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
SMH,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
SOL-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,2246,1545,0.0,0.717801,1.453722,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
SPLV,equity_etf,US,US_MARKET_TRADING_DAYS,3793,3796,0.0,0.7763,0.99921,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
SPY,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
TAIL,tail_risk_etf,US,US_MARKET_TRADING_DAYS,2302,2303,0.0,1.0,0.999566,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
TAN,equity_etf,US,US_MARKET_TRADING_DAYS,4564,4566,0.0,0.934097,0.999562,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
TIP,bond_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.017493,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
TLT,bond_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.017493,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
