candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
261240.KS,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.005542,0.029614,0.010592,-0.017165,0.000136,0.0,0.000136,0.005542,0.029614,0.010466,-0.017758,3,0,0,0.000311,0.003264,0.002326,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.12522,2023 US Regional Bank / Credit Stress
261240.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002307,0.010046,-0.077895,-0.032674,0.000136,0.0,0.000136,0.002307,0.010046,-0.078173,-0.032792,1,0,0,0.000228,-0.000409,0.020483,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.078173,China Slowdown / Property Stress
261240.KS,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.003155,0.010466,0.004079,0.018052,0.000136,0.0,0.000136,0.003155,0.010466,0.003942,0.017445,1,0,0,0.000689,0.002129,0.004888,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.000689,2024 Middle East / Shipping Supply Shock
261240.KS,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.005421,0.0624,0.057581,0.06106,0.000136,0.0,0.000136,0.005421,0.0624,0.057495,0.060969,1,0,0,0.001311,0.018281,0.017486,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001311,2022 Global Rate Shock
261240.KS,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.004101,0.017134,0.007771,0.017627,0.000136,0.0,0.000136,0.004101,0.017134,0.007643,0.017335,1,0,0,0.000309,0.000348,0.001802,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.000309,2024 AI Semiconductor Concentration / Pullback Risk
261240.KS,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.005211,0.050855,0.045871,0.05636,0.000136,0.0,0.000136,0.005211,0.050855,0.045771,0.056236,1,0,0,0.001365,0.01543,0.01664,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001365,Russia-Ukraine / War-Energy Shock
261240.KS,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.005093,0.034179,0.028773,0.05453,0.000136,0.0,0.000136,0.005065,0.034179,0.028655,0.0543,1,0,0,0.00137,0.008268,0.010291,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001342,2022 KRW Weakness / USD Strength
261240.KS + 017670.KS,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.004803,0.026336,0.00945,-0.019124,0.000136,0.0,0.000136,0.004803,0.026336,0.009325,-0.019713,2,0,1,-0.000428,-0.000252,0.001113,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=2; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.106693,2023 US Regional Bank / Credit Stress
261240.KS + 017670.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002449,0.015024,-0.07068,-0.029625,0.000136,0.0,0.000136,0.002449,0.015024,-0.070959,-0.029743,1,0,0,0.000369,0.004569,0.027698,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.070959,China Slowdown / Property Stress
261240.KS + 017670.KS,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.002751,0.008333,0.001377,0.006066,0.000136,0.0,0.000136,0.002751,0.008333,0.00124,0.005465,1,0,0,0.000286,-4e-06,0.002186,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-4e-06,2024 Middle East / Shipping Supply Shock
261240.KS + 017670.KS,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.004488,0.044222,0.040176,0.042517,0.000136,0.0,0.000136,0.004488,0.044144,0.040093,0.042428,1,0,0,0.000377,0.000103,8.1e-05,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-3e-06,2022 Global Rate Shock
261240.KS + 017670.KS,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.003591,0.017407,0.009619,0.021852,0.000136,0.0,0.000136,0.003591,0.017407,0.009491,0.021558,1,0,0,-0.000201,0.000621,0.00365,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.000201,2024 AI Semiconductor Concentration / Pullback Risk
261240.KS + 017670.KS,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.004434,0.038204,0.034472,0.042207,0.000136,0.0,0.000136,0.004434,0.038204,0.034374,0.042086,1,0,0,0.000589,0.002779,0.005242,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.000589,Russia-Ukraine / War-Energy Shock
261240.KS + 017670.KS,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.00408,0.026923,0.019684,0.036947,0.000136,0.0,0.000136,0.004053,0.026923,0.019567,0.036724,1,0,0,0.000357,0.001013,0.001203,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.00033,2022 KRW Weakness / USD Strength
