candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
IAU,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.003636,0.016596,0.010087,0.022819,0.000128,0.0,0.000128,0.003636,0.016596,0.009968,0.022547,1,0,0,0.000122,0.000961,0.004264,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.000122,2024 AI Semiconductor Concentration / Pullback Risk
IAU,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.003512,0.028234,0.02357,0.028769,0.000128,0.0,0.000128,0.003512,0.028234,0.02348,0.028658,0,0,1,-4e-05,-0.004413,-0.003277,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.004413,Russia-Ukraine / War-Energy Shock
IAU,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.002869,0.020154,0.010895,0.02026,0.000128,0.0,0.000128,0.002843,0.020154,0.010787,0.020056,0,0,1,-0.000577,-0.003988,-0.006379,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.006488,2022 KRW Weakness / USD Strength
PSQ,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.008487,0.047654,0.014754,-0.037774,0.000128,0.0,0.000128,0.008487,0.047654,0.014637,-0.038304,3,0,0,0.003639,0.023067,0.006585,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.196338,2023 US Regional Bank / Credit Stress
PSQ,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002059,0.010772,-0.111815,-0.047538,0.000128,0.0,0.000128,0.002059,0.010772,-0.112064,-0.047645,1,0,0,0.00011,0.000895,-0.023751,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.112064,China Slowdown / Property Stress
PSQ,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.003061,0.011755,0.000495,0.002155,0.000128,0.0,0.000128,0.003061,0.011755,0.000369,0.001604,1,0,0,0.000787,0.004044,0.00096,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,net_stress_loss,0.000369,2024 Middle East / Shipping Supply Shock
PSQ,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.006989,0.070177,0.062871,0.06688,0.000128,0.0,0.000128,0.006989,0.070177,0.06279,0.066793,1,0,0,0.003016,0.029535,0.026067,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.003016,2022 Global Rate Shock
PSQ,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.004921,0.023953,0.004934,0.011116,0.000128,0.0,0.000128,0.004921,0.023953,0.004815,0.010848,1,0,0,0.001407,0.008319,-0.000889,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.001008,2024 AI Semiconductor Concentration / Pullback Risk
PSQ,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.00601,0.050689,0.042468,0.052138,0.000128,0.0,0.000128,0.00601,0.050689,0.042375,0.052023,1,0,0,0.002457,0.018042,0.015621,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.002457,Russia-Ukraine / War-Energy Shock
PSQ,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.005216,0.037833,0.02214,0.041667,0.000128,0.0,0.000128,0.005191,0.037833,0.022031,0.041457,1,0,0,0.00177,0.013691,0.004866,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001745,2022 KRW Weakness / USD Strength
SH,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.008799,0.048166,0.023723,-0.010328,0.000128,0.0,0.000128,0.008799,0.048166,0.023604,-0.010873,3,0,0,0.003951,0.023579,0.015553,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.142734,2023 US Regional Bank / Credit Stress
SH,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002101,0.01024,-0.102985,-0.043741,0.000128,0.0,0.000128,0.002101,0.01024,-0.103235,-0.043848,1,0,0,0.000152,0.000362,-0.01492,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.103235,China Slowdown / Property Stress
SH,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.002581,0.010596,-0.000498,-0.002164,0.000128,0.0,0.000128,0.002581,0.010596,-0.000625,-0.002714,1,0,0,0.000307,0.002884,-3.3e-05,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.002714,2024 Middle East / Shipping Supply Shock
SH,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.005914,0.059309,0.05042,0.053554,0.000128,0.0,0.000128,0.005914,0.059309,0.05034,0.053469,1,0,0,0.001942,0.018667,0.013616,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001942,2022 Global Rate Shock
SH,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.004517,0.021125,0.0044,0.009909,0.000128,0.0,0.000128,0.004517,0.021125,0.004281,0.00964,1,0,0,0.001003,0.005491,-0.001423,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.001542,2024 AI Semiconductor Concentration / Pullback Risk
SH,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.005263,0.046761,0.036496,0.044724,0.000128,0.0,0.000128,0.005263,0.046761,0.036404,0.04461,1,0,0,0.001711,0.014113,0.009649,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001711,Russia-Ukraine / War-Energy Shock
SH,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.004859,0.035426,0.020823,0.039134,0.000128,0.0,0.000128,0.004834,0.035426,0.020714,0.038925,1,0,0,0.001413,0.011284,0.003549,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,0.001388,2022 KRW Weakness / USD Strength
