ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
VCSH,bond_etf,US,US_MARKET_TRADING_DAYS,4160,4162,0.0,0.865765,0.999519,0,0,0,2898,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VGIT,bond_etf,US,US_MARKET_TRADING_DAYS,4160,4162,0.0,0.865765,0.999519,0,0,0,2898,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VGLT,bond_etf,US,US_MARKET_TRADING_DAYS,4133,4135,0.0,0.860146,0.999516,0,0,0,2871,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VGSH,bond_etf,US,US_MARKET_TRADING_DAYS,4160,4162,0.0,0.865765,0.999519,0,0,0,2898,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VIG,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VNQ,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VTI,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VTV,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VUG,equity_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
VXUS,equity_etf,GLOBAL,US_MARKET_TRADING_DAYS,3863,3866,0.0,0.790141,0.999224,0,0,0,2601,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
