candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
multi,114800.KS + 005380.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005380.KS 1주 매수 불가
multi,114800.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 105560.KS 1주 매수 불가
multi,132030.KS + 000270.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000270.KS 1주 매수 불가
multi,132030.KS + 005380.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005380.KS 1주 매수 불가
multi,132030.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 105560.KS 1주 매수 불가
multi,153130.KS + 000270.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000270.KS 1주 매수 불가
multi,153130.KS + 005380.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005380.KS 1주 매수 불가
multi,153130.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 105560.KS 1주 매수 불가
multi,261240.KS + 000270.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000270.KS 1주 매수 불가
multi,261240.KS + 005380.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005380.KS 1주 매수 불가
multi,261240.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 105560.KS 1주 매수 불가
one_to_one,000810.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000810.KS 1주 매수 불가
one_to_one,005380.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005380.KS 1주 매수 불가
one_to_one,032830.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 032830.KS 1주 매수 불가
one_to_one,066570.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 066570.KS 1주 매수 불가
