date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2007-04-09,acute_global_stress_liquidity_crunch,34.806662,0.541667,,0,N,34.806662,phase6_final_market_state_v1
2007-04-09,geopolitical_escalation_supply_shock,31.300904,0.45,,0,N,31.300904,phase6_final_market_state_v1
2007-04-10,acute_global_stress_liquidity_crunch,35.061699,0.541667,,0,N,35.061699,phase6_final_market_state_v1
2007-04-10,geopolitical_escalation_supply_shock,32.485427,0.45,,0,N,32.485427,phase6_final_market_state_v1
2007-04-11,acute_global_stress_liquidity_crunch,27.447579,0.541667,,0,N,27.447579,phase6_final_market_state_v1
2007-04-11,geopolitical_escalation_supply_shock,27.022718,0.45,,0,N,27.022718,phase6_final_market_state_v1
2007-04-12,acute_global_stress_liquidity_crunch,27.86839,0.541667,,0,N,27.86839,phase6_final_market_state_v1
2007-04-12,geopolitical_escalation_supply_shock,22.365319,0.45,,0,N,22.365319,phase6_final_market_state_v1
2007-04-13,acute_global_stress_liquidity_crunch,27.801265,0.541667,,0,N,27.801265,phase6_final_market_state_v1
2007-04-13,geopolitical_escalation_supply_shock,22.682765,0.45,,0,N,22.682765,phase6_final_market_state_v1
2007-04-16,acute_global_stress_liquidity_crunch,31.587769,0.541667,,0,N,31.587769,phase6_final_market_state_v1
2007-04-16,geopolitical_escalation_supply_shock,26.426483,0.45,,0,N,26.426483,phase6_final_market_state_v1
2007-04-17,acute_global_stress_liquidity_crunch,31.998903,0.541667,,0,N,31.998903,phase6_final_market_state_v1
2007-04-17,geopolitical_escalation_supply_shock,23.324031,0.45,,0,N,23.324031,phase6_final_market_state_v1
2007-04-18,acute_global_stress_liquidity_crunch,38.113734,0.541667,,0,N,38.113734,phase6_final_market_state_v1
2007-04-18,geopolitical_escalation_supply_shock,25.712657,0.45,,0,N,25.712657,phase6_final_market_state_v1
2007-04-19,acute_global_stress_liquidity_crunch,33.322776,0.541667,,0,N,33.322776,phase6_final_market_state_v1
2007-04-19,geopolitical_escalation_supply_shock,28.387681,0.45,,0,N,28.387681,phase6_final_market_state_v1
2007-04-20,acute_global_stress_liquidity_crunch,36.628917,0.541667,,0,N,36.628917,phase6_final_market_state_v1
2007-04-20,geopolitical_escalation_supply_shock,27.325176,0.45,,0,N,27.325176,phase6_final_market_state_v1
2007-04-23,acute_global_stress_liquidity_crunch,32.55334,0.541667,,0,N,32.55334,phase6_final_market_state_v1
2007-04-23,geopolitical_escalation_supply_shock,21.821523,0.45,,0,N,21.821523,phase6_final_market_state_v1
2007-04-24,acute_global_stress_liquidity_crunch,30.418018,0.541667,,0,N,30.418018,phase6_final_market_state_v1
2007-04-24,geopolitical_escalation_supply_shock,21.588397,0.45,,0,N,21.588397,phase6_final_market_state_v1
2007-04-25,acute_global_stress_liquidity_crunch,33.202185,0.541667,,0,N,33.202185,phase6_final_market_state_v1
2007-04-25,geopolitical_escalation_supply_shock,26.304674,0.45,,0,N,26.304674,phase6_final_market_state_v1
2007-04-26,acute_global_stress_liquidity_crunch,34.107021,0.541667,,0,N,34.107021,phase6_final_market_state_v1
2007-04-26,china_trade_fragmentation_shock,6.102615,0.083333,,0,N,6.102615,phase6_final_market_state_v1
2007-04-26,geopolitical_escalation_supply_shock,28.801177,0.45,,0,N,28.801177,phase6_final_market_state_v1
2007-04-26,usd_strength_krw_weakness,3.183973,0.043478,,0,N,3.183973,phase6_final_market_state_v1
2007-04-27,acute_global_stress_liquidity_crunch,30.29327,0.541667,,0,N,30.29327,phase6_final_market_state_v1
2007-04-27,china_trade_fragmentation_shock,4.167633,0.083333,,0,N,4.167633,phase6_final_market_state_v1
