as_of_utc,as_of_kst,nowcast_code,signal_name,signal_label,metric_type,ticker,tickers,direction,weight,threshold,raw_value,normalized_value,aligned_value,unit_score,contribution,freshness_score,is_available
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_risk_on_intraday,ks200_3h,KOSPI200 3h return,ticker,^KS200,^KS200,positive,0.25,0.012,-0.005059,-0.421612,-0.421612,28.919407,7.229852,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_risk_on_intraday,kr_breadth_session,KR large-cap session breadth,breadth,,"^KS200,069500.KS,005930.KS,000660.KS,035420.KS,035720.KS,051910.KS,006400.KS,373220.KS,005380.KS,000270.KS,068270.KS,207940.KS,105560.KS",positive,0.25,0.25,0.214286,-1.142857,-1.142857,0.0,0.0,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_risk_on_intraday,semis_3h,Samsung/SK Hynix 3h basket,basket,,"005930.KS,000660.KS",positive,0.25,0.015,-0.008281,-0.552039,-0.552039,22.398033,5.599508,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_risk_on_intraday,krw_3h,USD/KRW 3h return,ticker,KRW=X,KRW=X,negative,0.15,0.004,-0.000822,-0.205508,0.205508,60.275414,9.041312,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_risk_on_intraday,global_risk_3h,EWY/SOXX/QQQ/SPY 3h basket,basket,,"EWY,SOXX,QQQ,SPY",positive,0.1,0.012,-0.00438,-0.36497,-0.36497,31.751525,3.175152,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_semiconductor_pressure_intraday,samsung_3h,Samsung Electronics 3h return,ticker,005930.KS,005930.KS,negative,0.3,0.015,-0.00165,-0.110011,0.110011,55.50055,16.650165,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_semiconductor_pressure_intraday,hynix_3h,SK Hynix 3h return,ticker,000660.KS,000660.KS,negative,0.3,0.018,-0.014911,-0.82839,0.82839,91.419486,27.425846,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_semiconductor_pressure_intraday,soxx_3h,SOXX 3h return,ticker,SOXX,SOXX,negative,0.15,0.015,-0.01226,-0.817357,0.817357,90.867863,13.63018,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_semiconductor_pressure_intraday,ks200_3h,KOSPI200 3h return,ticker,^KS200,^KS200,negative,0.15,0.012,-0.005059,-0.421612,0.421612,71.080593,10.662089,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_semiconductor_pressure_intraday,krw_3h,USD/KRW 3h return,ticker,KRW=X,KRW=X,positive,0.1,0.004,-0.000822,-0.205508,-0.205508,39.724586,3.972459,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,krw_weakness_intraday,krw_1h,USD/KRW 1h return,ticker,KRW=X,KRW=X,positive,0.3,0.0025,0.000151,0.060555,0.060555,53.027772,15.908332,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,krw_weakness_intraday,krw_3h,USD/KRW 3h return,ticker,KRW=X,KRW=X,positive,0.35,0.004,-0.000822,-0.205508,-0.205508,39.724586,13.903605,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,krw_weakness_intraday,ks200_3h,KOSPI200 3h return,ticker,^KS200,^KS200,negative,0.2,0.012,-0.005059,-0.421612,0.421612,71.080593,14.216119,0.45,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,krw_weakness_intraday,ewy_3h,EWY 3h return,ticker,EWY,EWY,negative,0.15,0.012,0.00552,0.460017,-0.460017,26.999161,4.049874,1.0,1.0
2026-06-10T14:56:58+00:00,2026-06-10T23:56:58+09:00,kr_defensive_rotation_intraday,defensive_relative_session,Defensive basket vs KOSPI200 session,relative,,"068270.KS,207940.KS,105560.KS,^KS200",positive,0.35,0.01,0.018623,1.86234,1.86234,100.0,35.0,0.45,1.0
