date,factor_code,factor_name,factor_group,factor_polarity,factor_score,coverage_ratio,breadth_score,confidence,factor_state,interpretation
2021-11-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,79.082786,0.65,0.647386,51.248049,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,84.029856,0.65,0.680597,52.543287,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,84.655188,0.65,0.693104,53.031047,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-05,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,88.56781,0.65,0.771356,56.082892,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,87.992017,0.65,0.75984,55.633774,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,85.454932,0.65,0.709099,53.654847,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,70.17564,0.65,0.501201,45.546856,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,59.668699,0.65,0.367127,40.317952,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-12,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,65.523796,0.65,0.416221,42.232629,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,61.994931,0.65,0.367467,40.331207,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,60.895632,0.65,0.352056,39.730179,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-17,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,56.132545,0.65,0.300976,37.738052,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-18,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,57.04496,0.65,0.261725,36.207273,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-19,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,59.324353,0.65,0.267925,36.449064,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-22,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,45.578738,0.65,0.31376,38.23663,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-23,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,42.703676,0.65,0.32916,38.837254,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-24,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,47.664994,0.65,0.316541,38.345084,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-26,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,19.990249,0.65,0.600195,49.407606,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-29,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,29.577999,0.65,0.440377,43.174718,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-30,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,18.468322,0.65,0.630634,50.594709,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,9.630203,0.65,0.807396,57.488442,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,16.325021,0.65,0.6735,52.266483,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,6.581799,0.65,0.868364,59.866197,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-06,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,10.812485,0.65,0.78375,56.566262,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,30.848434,0.65,0.383031,40.938222,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,37.170935,0.65,0.256581,36.006671,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,35.32998,0.65,0.2934,37.442616,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,47.680101,0.65,0.053555,28.08864,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-13,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,36.128193,0.65,0.277436,36.820009,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,29.315461,0.65,0.413691,42.13394,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,42.452632,0.65,0.234977,35.164107,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,34.733049,0.65,0.398433,41.538889,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-17,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,26.824109,0.65,0.552394,47.543382,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-20,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,19.502949,0.65,0.668647,52.077239,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-21,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,40.939242,0.65,0.534607,46.84968,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-22,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,52.977841,0.65,0.401982,41.677284,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-23,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,55.892141,0.65,0.387011,41.093431,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-27,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,72.137654,0.65,0.442753,43.26737,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-28,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.750119,0.65,0.395557,41.426719,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-29,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,74.141191,0.65,0.498508,45.441794,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-30,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,77.887102,0.65,0.557742,47.75194,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-12-31,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,68.304295,0.65,0.378062,40.744412,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,77.315724,0.65,0.546314,47.306265,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.927785,0.65,0.298556,37.643672,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-05,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,30.217456,0.65,0.395651,41.430384,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-06,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,29.113589,0.65,0.417728,42.2914,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,33.601643,0.65,0.327967,38.790718,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,27.076625,0.65,0.458468,43.880233,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,41.547914,0.65,0.175385,32.84003,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-12,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,50.251871,0.65,0.134852,31.259221,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-13,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,24.789414,0.65,0.504212,45.664257,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,34.125642,0.65,0.317487,38.381999,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-18,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,19.544035,0.65,0.609119,49.755653,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-19,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,18.178912,0.65,0.636422,50.820448,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-20,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.86117,0.65,0.982777,64.328287,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-21,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.65,1.0,65.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-24,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.65,1.0,65.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-25,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.65,1.0,65.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-26,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.65,1.0,65.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-27,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.65,1.0,65.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-28,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.65,1.0,65.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-01-31,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,2.348518,0.65,0.95303,63.168156,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,7.446226,0.65,0.851075,59.191944,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,12.790701,0.65,0.744186,55.023254,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,6.92004,0.65,0.861599,59.602368,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,11.322661,0.65,0.773547,56.168325,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,12.606898,0.65,0.747862,55.166619,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,18.235141,0.65,0.635297,50.77659,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,22.554281,0.65,0.548914,47.407661,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,9.086066,0.65,0.818279,57.912868,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,3.339627,0.65,0.933207,62.395091,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,2.361913,0.65,0.952762,63.157708,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,16.565275,0.65,0.668695,52.079086,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,22.549578,0.65,0.549008,47.411329,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-17,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,14.61264,0.65,0.707747,53.602141,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-18,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,19.336686,0.65,0.613266,49.917385,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-22,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,14.539176,0.65,0.709216,53.659443,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-23,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,13.31294,0.65,0.733741,54.615907,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-24,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,25.763792,0.65,0.484724,44.904242,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-25,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,39.287574,0.65,0.316009,38.324342,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-02-28,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,29.051277,0.65,0.418974,42.340004,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,15.513426,0.65,0.689731,52.899528,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,18.470316,0.65,0.630594,50.593153,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,11.075338,0.65,0.778493,56.361236,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,18.528687,0.65,0.629426,50.547624,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,4.561306,0.65,0.908774,61.442181,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,3.813606,0.65,0.923728,62.025387,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,13.474235,0.65,0.730515,54.490097,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,1.401861,0.65,0.971963,63.906549,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,4.932408,0.65,0.901352,61.152721,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,5.608838,0.65,0.887823,60.625106,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,18.105983,0.65,0.63788,50.877333,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,29.907042,0.65,0.401859,41.672507,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-17,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,35.360883,0.65,0.292782,37.418511,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-18,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,53.15517,0.65,0.223526,34.717505,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2022-03-21,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,49.96937,0.65,0.30451,37.875878,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
