date,factor_code,factor_name,factor_group,factor_polarity,factor_score,coverage_ratio,breadth_score,confidence,factor_state,interpretation
2021-08-23,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,53.343465,0.15,0.066869,6.601824,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-24,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,52.198403,0.15,0.043968,6.395712,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-25,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,59.101999,0.15,0.18204,7.63836,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-26,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,25.790422,0.15,0.484192,10.357724,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-27,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,65.893025,0.15,0.31786,8.860744,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-30,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,68.981985,0.15,0.37964,9.416757,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-31,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.015003,0.15,0.2803,8.522701,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,69.960442,0.15,0.399209,9.592879,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.776754,0.15,0.295535,8.659816,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.633321,0.15,0.292666,8.633998,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,35.700979,0.15,0.28598,8.573824,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,38.84407,0.15,0.223119,8.008067,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,24.807452,0.15,0.503851,10.534659,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.15,1.0,15.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-13,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,17.458982,0.15,0.65082,11.857383,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,16.578595,0.15,0.668428,12.015853,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,37.83072,0.15,0.243386,8.19047,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,29.659938,0.15,0.406801,9.661211,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-17,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.15,1.0,15.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-20,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.0,0.15,1.0,15.0,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-21,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,12.95603,0.65,0.797582,57.105704,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-22,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,15.495017,0.65,0.763662,55.782822,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-23,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,23.163247,0.65,0.587483,48.911832,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-24,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,30.738946,0.65,0.400055,41.602142,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-27,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,16.821658,0.65,0.663567,51.879107,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-28,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,2.642464,0.65,0.947151,62.938878,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-29,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,4.421838,0.65,0.911563,61.550966,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-30,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,2.62333,0.65,0.947533,62.953803,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,6.889896,0.65,0.862202,59.625881,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,0.597519,0.65,0.98805,64.533935,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-05,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,5.888859,0.65,0.882223,60.40669,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-06,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,5.425385,0.65,0.891492,60.7682,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,13.621315,0.65,0.727574,54.375374,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,17.612342,0.65,0.647753,51.262373,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,10.427431,0.65,0.791451,56.866604,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-12,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,12.342784,0.65,0.753144,55.372628,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-13,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,14.613707,0.65,0.707726,53.601308,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,33.369375,0.65,0.468176,44.258864,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,43.22622,0.65,0.329325,38.843661,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-18,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,57.256167,0.65,0.316141,38.329517,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-19,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,61.9585,0.65,0.441514,43.219033,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-20,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,57.478583,0.65,0.419524,42.361433,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-21,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,52.528715,0.65,0.432633,42.87267,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-22,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,48.299375,0.65,0.430463,42.788061,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-25,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,56.725475,0.65,0.407571,41.895269,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-26,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,71.23832,0.65,0.541945,47.135865,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-27,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.645265,0.65,0.493213,45.235291,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-28,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,75.711437,0.65,0.595269,49.215479,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-10-29,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,70.94869,0.65,0.661137,51.784359,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-11-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,76.896025,0.65,0.69782,53.214971,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
